Date,GDP251  ,GDP252  ,GDP253  ,GDP254  ,GDP255  ,GDP256  ,GDP257  ,GDP258  ,GDP259  ,GDP260  ,GDP261  ,GDP263  ,GDP264  ,GDP265  ,GDP266  ,GDP267  ,GDP268  ,GDP269  ,GDP270  ,GDP271  ,GDP272  ,GDP273  ,GDP274  ,GDP275  ,GDP276  ,GDP277  ,GDP278  ,GDP279  ,GDP280  ,GDP281  ,GDP282  ,GDP284  ,GDP285  ,GDP286  ,GDP287  ,GDP288  ,GDP289  ,GDP290  ,GDP291  ,GDP292  ,LBOUT   ,LBPUR7  ,LBMNU   ,LBLCPU  ,GDP272A,GDP273A,GDP274A,GDP274_1,GDP274_2,GDP274_3,GDP275A,GDP275_1,GDP275_2,GDP275_3,GDP275_4,GDP276A,GDP276_1,GDP276_2,GDP276_3,GDP276_4,GDP276_5,GDP276_6,GDP276_7,GDP276_8,GDP277A,GDP278A,GDP279A,GDP280A,GDP281A,GDP282A,GDP284A,GDP284_1,GDP284_2,GDP285A,GDP285_1,GDP285_2,GDP286A,GDP287A,GDP288A
11\1\1978,52.332,49.675,32.982,58.676,49.023,42.442,42.111,34.244,76.908,24.444,71.741,25.683,22.59,63.468,74.723,58.065,52.258,50.879,50.798,52.678,47.074,44.456,73.844,50.371,36.474,64.269,62.936,72.489,44.063,88.97,43.367,73.072,66.555,43.276,46.058,41.243,46.854,46.928,46.712,47.055,79.965,89.755,85.369,56.512,47.074,44.456,73.844,53.674,121.734,58.609,50.371,48.408,86.46,41.838,41.38,36.474,36.383,47.567,44.465,50.814,38.436,29.419,42.744,38.871,64.269,62.936,72.489,44.063,88.97,43.367,73.072,85.104,48.272,66.555,70.041,53.235,43.276,46.058,41.243
2\1\1979,52.434,49.935,32.642,58.967,49.519,42.474,42.443,35.005,76.484,25.347,70.063,25.704,22.523,62.901,74.835,57.108,52.434,50.957,50.947,52.792,47.929,45.284,75.068,51.733,36.926,65.566,64.241,74.027,45.281,90.565,44.216,75.218,69.149,44.135,46.718,42.228,47.708,47.828,47.611,47.91,79.476,90.167,85.976,58.633,47.929,45.284,75.068,54.728,123.4,59.493,51.733,50.034,86.684,43.78,42.158,36.926,36.973,48.208,45.56,50.997,36.237,30.073,43.35,39.688,65.566,64.241,74.027,45.281,90.565,44.216,75.218,88.072,48.702,69.149,72.997,54.437,44.135,46.718,42.228
5\1\1979,52.484,49.916,31.888,58.729,49.979,42.356,42.108,34.895,77.588,25.036,68.756,25.772,22.648,63.566,75.759,57.638,52.435,51.021,50.964,52.911,49.092,46.509,76.403,53.402,37.867,67.245,65.911,75.688,46.675,92.205,45.734,78.281,72.745,45.019,47.435,43.219,48.869,49.044,48.825,49.071,79.322,89.722,86.324,60.032,49.092,46.509,76.403,55.999,124.69,60.697,53.402,51.191,87.46,49.956,42.693,37.867,37.645,48.951,46.7,51.332,40.777,30.545,44.223,40.473,67.245,65.911,75.688,46.675,92.205,45.734,78.281,91.989,49.977,72.745,77.026,56.376,45.019,47.435,43.219
8\1\1979,52.862,50.41,32.813,59.363,50.169,41.521,42.87,35.98,81.192,25.608,67.938,26.698,22.302,63.656,75.637,57.848,53.197,51.151,51.461,53.408,50.102,47.65,77.258,55.011,38.766,68.934,67.529,77.307,48.13,93.693,47.203,80.122,78.196,46.297,48.391,44.704,49.867,50.289,50.06,50.08,79.301,89.4,87.048,61.453,50.102,47.65,77.258,56.546,125.808,61.888,55.011,51.879,87.637,58.05,43.363,38.766,38.572,50.177,48.655,51.848,42.727,30.899,44.834,41.566,68.934,67.529,77.307,48.13,93.693,47.203,80.122,94.048,51.359,78.196,83.236,58.95,46.297,48.391,44.704
11\1\1979,53.017,50.555,31.956,59.845,50.509,40.752,42.471,36.074,83.661,25.28,65.37,28.373,22.785,64.072,75.628,58.505,53.449,51.128,51.529,53.558,51.088,48.793,78.59,56.443,39.704,70.363,68.884,78.738,49.167,95.263,48.343,81.61,83.425,47.648,50.382,45.626,50.844,51.515,51.275,51.065,79.129,89.424,87.218,63.088,51.088,48.793,78.59,57.341,127.697,63.746,56.443,52.882,88.436,62.804,44.201,39.704,39.688,51.33,50.493,52.343,43.455,31.688,45.3,42.525,70.363,68.884,78.738,49.167,95.263,48.343,81.61,95.473,53.031,83.425,89.17,61.503,47.648,50.382,45.626
2\1\1980,53.186,50.475,31.528,59.69,50.637,40.43,41.87,36.464,84.947,25.487,60.372,29.169,22.809,65.104,78.045,58.783,53.556,51.166,51.507,53.739,52.209,50.246,80.817,58.472,40.699,72.016,70.486,80.492,50.024,97.644,49.617,84.003,90.352,48.782,51.307,46.894,51.957,52.93,52.682,52.183,79.581,89.212,87.01,64.661,52.209,50.246,80.817,58.841,130.431,66.855,58.472,53.859,89.708,71.76,45.35,40.699,40.372,52.648,52.563,52.918,43.863,32.679,46.128,44.084,72.016,70.486,80.492,50.024,97.644,49.617,84.003,98.087,54.991,90.352,96.978,65.085,48.782,51.307,46.894
5\1\1980,52.113,49.349,28.003,58.918,50.338,36.8,38.227,34.614,83.064,23.775,49.2,29.716,21.148,65.307,80.01,58.013,52.52,49.648,50.018,52.613,53.362,51.457,82.623,59.84,41.721,73.715,72.117,82.353,51.05,100.042,50.784,85.161,93.632,50.05,52.492,48.216,53.1,54.22,53.963,53.334,78.665,89.401,85.492,67.109,53.362,51.457,82.623,59.772,132.814,69.901,59.84,54.997,90.301,75.19,46.498,41.721,41.181,53.958,55.222,52.916,45.157,33.604,47.41,45.278,73.715,72.117,82.353,51.05,100.042,50.784,85.161,99.151,56.431,93.632,100.826,66.226,50.05,52.492,48.216
8\1\1980,52.026,49.886,29.339,58.812,50.969,34.011,38.601,34.872,83.466,23.992,50.04,29.655,19.626,64.405,78.926,57.197,53.209,49.197,50.299,52.486,54.572,52.652,84.102,61.081,42.831,75.209,73.673,84.101,52.137,102.152,51.948,87.557,96.225,51.179,53.346,49.535,54.317,55.446,55.194,54.543,78.758,89.618,85.1,68.595,54.572,52.652,84.102,60.8,134.976,71.5,61.081,56.727,90.882,75.062,47.536,42.831,42.199,55.969,57.465,54.698,47.043,34.455,48.257,46.221,75.209,73.673,84.101,52.137,102.152,51.948,87.557,102.096,57.665,96.225,103.573,68.241,51.179,53.346,49.535
11\1\1980,52.991,50.55,30.282,59.128,51.738,37.487,40.133,35.603,85.924,24.374,54.931,29.482,20.682,64.342,79.189,56.952,53.683,50.407,51.048,53.324,56.105,53.955,85.564,62.405,44.077,76.756,75.272,85.846,53.749,103.635,53.227,90.483,97.844,53.034,56.052,50.789,55.851,56.907,56.658,56.074,79.59,89.906,86.151,69.69,56.105,53.955,85.564,62.053,136.794,72.854,62.405,58.385,91.935,75.959,48.371,44.077,43.413,57.052,58.829,55.498,50.94,35.428,48.933,47.209,76.756,75.272,85.846,53.749,103.635,53.227,90.483,105.787,58.982,97.844,105.477,68.842,53.034,56.052,50.789
2\1\1981,54.065,50.766,31.185,59.679,51.422,41.259,40.425,36.176,85.843,25.033,53.946,30.03,21.561,65.199,80.837,57.381,53.908,51.55,51.385,54.429,57.566,55.349,86.676,64.172,45.27,78.983,77.307,88.316,56.084,105.677,54.388,92.769,100.422,54.359,56.999,52.38,57.288,58.397,58.124,57.54,81.102,89.804,86.626,70.479,57.566,55.349,86.676,62.751,139.064,73.545,64.172,59.4,92.485,83.708,49.347,45.27,44.412,58.731,60.912,56.794,52.899,36.494,50.008,48.421,78.983,77.307,88.316,56.084,105.677,54.388,92.769,108.495,60.446,100.422,108.67,69.218,54.359,56.999,52.38
